time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
2.0800000000000014,0.08120792871776654,0.0887410074295512,14.895365435420587,0.0010460316753642118,6.268928773613455,0.0,0.1506317091986969,0.1053025203572256,4.315887392047847,-0.022701169798650445,0.012232584752821705,0.0,488.9465780524671,489.9505410687009,488.59942276361807,491.1931550673088
2.1000000000000014,0.08425149939182504,0.09084928443012176,14.98189352924301,0.0005934727224259362,6.269176454526734,0.0,0.15372535820715322,0.10552517969983045,4.336921990194496,-0.02441256866174954,0.014693973882124747,0.0,442.5901730807222,443.19743681962336,442.60744785160705,442.1846224534908
2.1200000000000014,0.0873560433719679,0.09296101433759955,15.068816737553572,0.00012853701784631966,6.2694732275869605,0.0,0.15672903980713193,0.10564781104794828,4.355398840861688,-0.017583854484831615,0.017099626635166593,0.0,439.64744684517785,440.24495291768625,440.0113733526077,441.70416273125073
2.1400000000000015,0.09052171709169697,0.09507421266534184,15.156233219495855,6.282963354119503,6.2698574093374475,0.0,0.15983833216577556,0.10567202172628173,4.386249353366585,-0.019124641145902854,0.026285400177401025,0.0,451.0541795178073,453.2743438334479,452.18515318752435,451.8126789842624
2.1600000000000015,0.0937510217944839,0.09718705927375419,15.244440883937417,6.282580884346398,6.270384232508814,0.0,0.1630921381129175,0.10561263911495332,4.434517090789509,-0.019339349380944445,0.024791969349346528,0.0,468.0680846467228,467.7193564922778,468.26531494017615,468.2152679557254
2.1800000000000015,0.09704444822335652,0.09929776564439656,15.333640334035248,6.2822493611095105,6.270886595693824,0.0,0.16625050477434475,0.10545799794928287,4.485427918993749,-0.008826143330294819,0.021179823720098762,0.0,471.95358402101556,471.1164360755401,468.7944997133831,471.2391293646155
2.2000000000000015,0.10040070055072588,0.10140448976990034,15.423931566314234,6.282075138071988,6.271311824244746,0.0,0.16937472796259068,0.10521441460109489,4.543695308904859,-0.006681461962862558,0.019373126999366837,0.0,477.74799869126315,477.33448156352944,477.4521245353319,477.94292104123275
2.2200000000000015,0.10381576551765632,0.1035061399925324,15.515170429943819,6.28194200144609,6.271705239701097,0.0,0.17213176873045438,0.10495060766211109,4.58019105405373,-0.007674047838224086,0.015922644029406522,0.0,459.008405910025,458.1860437574033,458.98872165010397,458.7524218773342
2.2400000000000015,0.10728379694639242,0.10560233973580563,15.60702994527514,6.281809387351592,6.272027369298508,0.0,0.1746713741431548,0.10466936666521118,4.605760479078423,-0.014134212273493586,0.013210922501580229,0.0,449.0284843170586,448.36787546279146,450.12431080872756,448.5531266213094
2.2600000000000016,0.1108003784256845,0.10769280806076309,15.69926431482465,6.2815388204348555,6.272291637193863,0.0,0.17698677378605351,0.1043774658305352,4.617676475872532,-0.009211341417249858,0.012896453671884979,0.0,436.97460401548346,436.8958292829707,435.2593418973064,436.4938298520452
2.2800000000000016,0.1143597204991432,0.10977732672485507,15.791462220575996,6.281374681960193,6.272564796430533,0.0,0.17894743355981493,0.10407440057866274,4.602114099262128,-0.01554985128679521,0.007377366205065311,0.0,408.739510716863,407.2609442251926,411.81050143830623,410.12490963847205
2.3000000000000016,0.11796542341166384,0.11185418384984722,15.884068688007684,6.2810933868018335,6.272742171300605,0.0,0.1816228576922487,0.10361131192055203,4.6585326439066765,-0.023257233121986236,-0.00034630467992593107,0.0,477.4248071456235,475.6533260742636,478.1610768248402,476.3963056505981
2.3200000000000016,0.12161815238918189,0.11392227565905816,15.977226053368593,6.280639438150448,6.272736296757021,0.0,0.18365004005955643,0.1031978690005428,4.657203892184365,-0.018525212189264943,0.0011039022121398926,0.0,423.32106746648907,423.6953305428254,424.0073216226625,425.2252509693294
2.3400000000000016,0.12531239415286274,0.11598097832678772,16.070448724227532,6.280272200814558,6.2727683798367515,0.0,0.18577413630852838,0.10267239777241348,4.66506319370978,-0.02108134516529336,-0.003369359570735974,0.0,433.78766769721585,432.6591243206831,433.03820165894996,432.3926279397203
2.3600000000000017,0.12904800936610422,0.1180287118440753,16.16372871556355,6.279860414815781,6.272701823195586,0.0,0.18778738501562078,0.10210095395634493,4.6629359398920425,-0.0166449266710081,-0.0020805226922022274,0.0,422.88196228449465,423.2150001292389,423.05348708861436,424.1980593600602
2.3800000000000017,0.13282023449931452,0.12006541537153101,16.256605407827767,6.279551922656282,6.272672738111531,0.0,0.18943512830540918,0.10156939878922587,4.624733286529499,-0.023631538714223625,-0.007085594078349984,0.0,387.19496305216353,385.7795770582441,386.99311711234037,385.01487566795544
2.4000000000000017,0.1366328506800823,0.12208844460645743,16.34942123335281,6.279079533089805,6.272577361487766,0.0,0.19182648977136862,0.10073352470341584,4.656849265974906,-0.022936977258754064,0.0025409585550075333,0.0,453.47837735837106,455.7926661672125,456.09419870765794,456.26056012116766
2.4200000000000017,0.14049224098340074,0.12409416731188949,16.442759767640986,6.278621009455575,6.272630514461582,0.0,0.19411254056047597,0.09983874583979134,4.677004162842911,-0.022279845694422023,0.00038049438380231056,0.0,444.9647090526244,444.43368219407455,444.46581713754495,444.6273353110621
2.4400000000000017,0.14439821795722604,0.12608057559700556,16.536594587622528,6.278175794604966,6.272642497191523,0.0,0.19648515682205508,0.09880208267181283,4.706477835311099,-0.023153989020997964,-0.0025768159701869283,0.0,454.04594834539137,453.3335316147407,453.2679411952112,453.05710524373444
2.4600000000000017,0.1483531204074492,0.12804453045390077,16.631161428712755,6.277726665137386,6.2725997793908235,0.0,0.1990050882002592,0.09759340301770858,4.75020627371181,-0.02843609330622381,-0.0067764632657227025,0.0,466.67501442586536,465.69050201900626,467.5578718661859,466.32152534359494
2.4800000000000018,0.15235554929918083,0.12998476548361168,16.726322066138312,6.2771795557173675,6.2724670846441395,0.0,0.20123780097290467,0.09643009995338392,4.76585746884396,-0.02186152927402734,-0.00915743728088434,0.0,441.8958639613286,441.3066931204457,439.9883852799625,441.6182745178961
2.5000000000000018,0.15640583655768306,0.13189893484943438,16.82206859501617,6.27674517022437,6.272284819723687,0.0,0.20379092487731815,0.0949868366288856,4.808795418941858,-0.02424694013226728,-0.007827907164185981,0.0,466.44041381869863,466.75196069979336,466.3835133615557,465.82419275911343
2.520000000000002,0.16050872872922026,0.13378254446271082,16.918775532122517,6.2762751266451176,6.272133582928198,0.0,0.20649829227640026,0.09337412469875994,4.861898291693091,-0.01878887758323885,-0.004565592711037243,0.0,474.4908179000689,475.2417706426503,475.8738145999453,477.12566452649617
2.540000000000002,0.16466047140865853,0.13563627315713334,17.016031326880604,6.275905622222687,6.272112586677476,0.0,0.2086759756674281,0.09199874474349093,4.8636811841154595,-0.022330947383162002,-0.016424395643747453,0.0,429.4331747879078,426.4043666796572,430.432324594023,429.53201706566983
2.560000000000002,0.16885499043176402,0.13746229868122342,17.113249080021475,6.275466385548093,6.271792311360311,0.0,0.21077592664311984,0.09060380766551765,4.858094129971852,-0.026173413535970143,-0.012371595201773904,0.0,422.35518907446846,423.4027412827008,421.14248052204067,420.1440298430784
2.580000000000002,0.173092720320758,0.13925917950086888,17.210407931369716,6.27494342928081,6.271566864801109,0.0,0.21299706225627754,0.08908427429902706,4.857791004852238,-0.025161481288572807,-0.019002635064924882,0.0,427.64960390344174,425.9516275774103,426.8534327495818,427.1122911259842
